order_item_id,order_id,item_id
1,1,11
2,1,23
3,2,11
4,2,20
5,3,20
6,3,22
7,3,20
8,4,3
9,4,13
10,4,11
11,5,1
12,6,19
13,6,4
14,6,6
15,6,21
16,7,22
17,7,18
18,7,11
19,8,23
20,8,2
21,8,21
22,9,20
23,9,3
24,9,5
25,10,14
26,10,12
27,11,4
28,11,11
29,11,10
30,12,11
31,13,20
32,13,2
33,13,7
34,13,5
35,14,20
36,14,12
37,15,11
38,16,6
39,16,21
40,17,17
41,17,11
42,17,6
43,18,19
44,18,11
45,18,20
46,19,4
47,19,12
48,20,11
49,20,10
50,21,11
51,21,4
52,21,6
53,21,23
54,22,14
55,22,22
56,23,20
57,24,1
58,25,15
59,25,20
60,26,20
61,26,20
62,26,20
63,27,5
64,28,23
65,28,7
66,29,20
67,30,13
68,31,11
69,31,1
70,31,9
71,31,16
72,32,23
73,32,11
74,32,5
75,33,23
76,33,20
77,34,3
78,34,5
79,35,20
80,35,3
81,35,22
82,36,14
83,36,20
84,36,4
85,37,3
86,37,4
87,37,6
88,37,10
89,37,9
90,38,20
91,38,19
92,39,2
93,39,11
94,40,8
95,41,20
96,41,23
97,42,11
98,42,1
99,43,11
100,44,21
101,44,3
102,44,15
103,45,24
104,45,11
105,46,2
106,46,11
107,47,11
108,47,11
109,48,20
110,48,6
111,48,4
112,48,9
113,48,15
114,48,9
115,49,15
116,49,5
117,50,3
118,50,15
119,51,2
120,51,6
121,51,5
122,51,11
123,52,9
124,52,20
125,52,24
126,53,1
127,53,24
128,53,11
129,54,20
130,54,3
131,54,8
132,54,21
133,55,22
134,55,11
135,55,1
136,56,13
137,56,21
138,56,24
139,57,14
140,57,4
141,57,12
142,58,2
143,58,2
144,58,8
145,59,16
146,59,2
147,59,5
148,59,10
149,59,21
150,60,20
151,60,20
152,60,16
153,61,2
154,61,7
155,61,7
156,61,14
157,61,14
158,62,18
159,62,2
160,62,7
161,62,8
162,63,22
163,63,13
164,64,3
165,65,18
166,65,20
167,65,11
168,66,3
169,66,2
170,66,12
171,66,7
172,67,2
173,67,10
174,67,13
175,67,8
176,67,2
177,67,11
178,67,12
179,67,7
180,67,4
181,68,11
182,68,20
183,68,22
184,69,5
185,69,19
186,69,16
187,70,4
188,70,10
189,71,23
190,71,14
191,71,2
192,72,2
193,72,11
194,72,11
195,73,20
196,74,19
197,74,24
198,74,4
199,74,13
200,74,16
201,74,6
202,75,11
203,76,20
204,77,20
205,77,3
206,77,8
207,77,14
208,77,11
209,77,11
210,78,21
211,78,20
212,78,20
213,79,1
214,79,7
215,79,8
216,79,8
217,79,20
218,79,3
219,80,17
220,80,1
221,80,8
222,81,11
223,81,23
224,81,8
225,82,2
226,82,15
227,82,10
228,82,11
229,82,15
230,82,24
231,83,18
232,84,1
233,84,21
234,85,23
235,85,3
236,85,9
237,85,10
238,86,4
239,87,11
240,87,1
241,88,20
242,88,24
243,89,11
244,90,20
245,91,1
246,91,5
247,91,6
248,92,20
249,92,4
250,93,22
251,93,23
252,93,11
253,94,20
254,95,24
255,95,11
256,95,2
257,96,1
258,96,6
259,96,11
260,96,20
261,97,1
262,97,8
263,97,9
264,97,16
265,97,14
266,97,20
267,98,9
268,98,20
269,98,18
270,99,7
271,100,18
272,100,22
273,101,9
274,102,20
275,102,11
276,102,2
277,103,23
278,103,20
279,103,4
280,104,20
281,105,11
282,105,11
283,105,11
284,106,11
285,106,4
286,107,20
287,107,21
288,108,19
289,109,4
290,109,10
291,109,16
292,110,11
293,110,24
294,110,11
295,111,20
296,111,21
297,112,21
298,113,11
299,114,14
300,115,11
301,115,4
302,115,7
303,115,19
304,116,4
305,116,16
306,116,10
307,116,13
308,117,20
309,117,12
310,118,23
311,118,2
312,119,3
313,119,12
314,119,6
315,119,5
316,120,3
317,120,14
318,120,21
319,121,1
320,121,8
321,121,1
322,122,11
323,122,2
324,122,9
325,122,10
326,122,11
327,123,2
328,123,12
329,123,11
330,124,18
331,125,9
332,125,22
333,126,2
334,126,11
335,126,12
336,126,7
337,126,19
338,126,1
339,127,12
340,127,1
341,127,7
342,127,11
343,128,20
344,128,11
345,129,11
346,129,11
347,130,18
348,131,24
349,131,17
350,132,10
351,132,20
352,133,20
353,133,2
354,133,5
355,133,10
356,133,11
357,133,2
358,134,2
359,134,4
360,135,11
361,136,17
362,137,4
363,138,23
364,139,11
365,140,1
366,140,12
367,140,6
368,140,8
369,140,3
370,141,20
371,141,10
372,141,19
373,142,2
374,142,19
375,143,18
376,143,5
377,143,3
378,144,21
379,145,11
380,145,19
381,145,24
382,146,1
383,146,20
384,147,1
385,147,16
386,147,11
387,147,16
388,147,20
389,148,2
390,148,10
391,148,12
392,148,3
393,148,5
394,148,15
395,148,16
396,149,20
397,149,14
398,149,24
399,150,23
400,150,3
401,151,14
402,151,4
403,151,12
404,151,12
405,151,6
406,151,11
407,152,1
408,152,10
409,152,15
410,152,10
411,152,22
412,153,20
413,154,20
414,155,11
415,155,11
416,155,20
417,156,14
418,157,14
419,158,4
420,158,10
421,158,10
422,158,6
423,158,20
424,159,21
425,159,1
426,159,24
427,160,9
428,160,16
429,160,3
430,160,5
431,161,20
432,162,20
433,163,1
434,163,7
435,163,6
436,163,9
437,164,22
438,164,24
439,164,2
440,164,13
441,164,16
442,164,14
443,165,11
444,166,20
445,166,23
446,166,20
